gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5062167395	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.406454	16.923098							2013-04-23	23	4	2013	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0160043				CC_BY_4_0		Naser Grażyna			2026-06-04T22:52:58.951Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3478009784	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.784402	17.521403							2001-05-05	5	5	2001	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0143633		Czarna A.		CC_BY_4_0		Czarna A.			2026-06-04T22:53:06.161Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3478005741	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.504457	17.017823							2010-10-17	17	10	2010	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0143632		Celka Mikołaj		CC_BY_4_0		Celka Mikołaj			2026-06-04T22:53:06.857Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477950745	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.					PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6													3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0143644				CC_BY_4_0		s.leg.			2026-06-04T22:52:45.887Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3477949745	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.					PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6													3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0143643				CC_BY_4_0		s.leg.			2026-06-04T22:52:46.089Z		RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE
3477947462	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.448165	17.80215							1980			1980	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004989		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:52:45.953Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477942437	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.448165	17.80215							1979			1979	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004988		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:52:45.960Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477941472	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.448165	17.80215							1979			1979	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004987		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:52:55.930Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477937482	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	53.452585	17.529145							1963-07-28	28	7	1963	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004985		Burzyńska K.		CC_BY_4_0		Burzyńska K.			2026-06-04T22:53:06.119Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477932430	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	50.76039	20.76841							1960			1960	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004986		Głazek T.		CC_BY_4_0		Głazek T.			2026-06-04T22:52:55.859Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477926920	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.406454	16.923098							1999-11-20	20	11	1999	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-C-0003473		Latowski Karol		CC_BY_4_0		Latowski Karol			2026-06-04T22:52:55.914Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477926189	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.837433	17.42145							2002-09-29	29	9	2002	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0265106		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:52:45.845Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477912065	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.720779	17.510402							2002-08-03	3	8	2002	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0263277		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:52:45.582Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477899703	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.955123	17.340308							2001-07-15	15	7	2001	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0235791		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:52:55.824Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477891457	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.365028	16.698941							1934			1934	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004983		Krawiec F.		CC_BY_4_0		Krawiec F.			2026-06-04T22:52:45.486Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477890427	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.255413	18.262214							1973			1973	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004984		Adamiak H.		CC_BY_4_0		Adamiak H.			2026-06-04T22:52:45.542Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477886442	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.19297	15.34184							1976			1976	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004981		Wołoszyn D.		CC_BY_4_0		Wołoszyn D.			2026-06-04T22:52:55.894Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477885422	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.504457	17.017823							1934			1934	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004980		Alkiewicz W.		CC_BY_4_0		Alkiewicz W.			2026-06-04T22:52:50.497Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477884411	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	50.76039	20.76841							1974			1974	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0005026		Mirek Z., Nęcka J.		CC_BY_4_0		Mirek Z., Nęcka J.			2026-06-04T22:53:05.341Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477884409	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.504457	17.017823							1934			1934	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-V-0004982		Alkiewicz W.		CC_BY_4_0		Alkiewicz W.			2026-06-04T22:53:03.057Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477880872	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.19297	15.34184							1951-09-18	18	9	1951	3189866	3189866	PRESERVED_SPECIMEN	AMU	NHC-BOT	POZ-C-0003490		Czartoryski A.		CC_BY_4_0		Czartoryski A.			2026-06-04T22:53:05.735Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE
3477880208	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.853272	17.628626							2000-06-23	23	6	2000	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0185310		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:53:03.091Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477864671	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.837433	17.42145							2002-07-13	13	7	2002	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0255452		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:52:55.532Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477864612	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.720779	17.510402							2002-07-06	6	7	2002	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0254327		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:53:05.427Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477859741	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.95776	18.23799							2001-07-16	16	7	2001	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0236581		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:52:56.229Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477855923	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.730749	17.241318							2001-07-27	27	7	2001	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0240212		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:53:02.862Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477855122	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.730749	17.241318							2001-09-30	30	9	2001	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0244445		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:52:55.266Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477833997	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.829789	17.062298							2000-07-20	20	7	2000	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0201622		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:52:50.626Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477833522	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	51.720779	17.510402							2000-07-03	3	7	2000	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0192092		Pawłowski Jacek		CC_BY_4_0		Pawłowski Jacek			2026-06-04T22:53:05.394Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477829110	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	53.06987	18.49042							1994			1994	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0083595		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:52:45.210Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477829109	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	53.06987	18.49042							1994			1994	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0083577		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:52:51.326Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477829108	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	53.06987	18.49042							1993			1993	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0083559		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:53:05.936Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477827130	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.472228	18.329995							1993			1993	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0083601		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:52:55.741Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477827129	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	52.472228	18.329995							1994			1994	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0083593		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:53:04.158Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
3477827128	84b18cce-083a-4464-bee8-25b2083a17cd		Plantae	Tracheophyta	Magnoliopsida	Sapindales	Sapindaceae	Acer	Acer negundo		SPECIES	Acer negundo L.	Acer negundo L.		PL			PRESENT		5480dea7-2a71-409b-a832-cbc5f1b5a2e6	53.06987	18.49042							1994			1994	3189866	3189866	HUMAN_OBSERVATION	AMU	NHC-BOT	NOT-V-0083575		Chmiel J.		CC_BY_4_0		Chmiel J.			2026-06-04T22:53:04.514Z		GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
